Name,Handle,2nd handle,Handle run by self? (yes/no),M/F,State,Party,Age,Year of birth,Education,Marital Status,Term #,Race (black/white/latinx/PoC),President's Office / Congress / Senate,Campaign Finance / Income,Number of followers on X,Updated (yes/no)
Name,Handle,2nd handle,Handle run by self? (yes/no),M/F,State,Party,Age,Year of birth,Education,Marital Status,Term #,Race (black/white/latinx/PoC),President's Office / Congress / Senate,Campaign Finance / Income,Number of followers on X,Updated (yes/no)
Tommy Tuberville,@SenTuberville,@TTuberville,,M,Alabama,Republican,70,1954,BS in Physical Education,married,1,white,S,"$11,684,053",,yes
Katie Britt,@SenKatieBritt,@KatieBrittforAL,,F,Alabama,Republican,42,1982,Juris Doctor and BS Political Science,married,1,white,S,"$15,313,397",,yes
Lisa Murkowski,@lisamurkowski,@LisaForSenate,,F,Alaska,Republican,67,1957,Juris Doctor and BA Economics,married,4,white,S,"$10,964,334",,yes
Dan Sullivan,@SenDanSullivan,@DanSullivan_AK,,M,Alaska,Republican,60,1964,"MS Foreign Service and Juris Doctor, BA Economics",married,2,white,S,"$11,438,621",,yes
Ruben Gallego,@SenRubenGallego,,,M,Arizona,Democratic,,1979,BA in Government,married,1,white,S,"$63,777,612",,yes
Mark Kelly,@SenMarkKelly,,,M,Arizona,Democratic,60,1964,MSc in aueronautical engineering,married,2,white,S,"$99,670,347",,yes
John Boozman,@JohnBoozman,,,M,Arkansas,Republican,73,1950,Doctor of Optometry,married,3,white,S,"$8,151,175",,yes
Tom Cotton,@SenTomCotton,,,M,Arkansas,Republican,47,1977,"JD (Harvard Law School), BA in Government (Harvard)",married,2,white,S,"$16,312,092",,yes
Alex Padilla,@AlexPadilla4CA,,,M,California,Democratic,51,1973,BS in Mechanical Engineering (MIT),married,2,latinx,S,"$12,645,480",,yes
Adam Schiff,@AdamSchiff,,,M,California,Democratic,64,1960,"JD (Harvard Law School), BA in Political Science (Stanford)",married,1,white,S,"$47,309,768",,yes
Michael Bennet,@MichaelBennet,,,M,Colorado,Democratic,60,1964,"JD (Yale Law School), BA in History (Wesleyan University)",married,3,white,S,"$22,125,113",,yes
John Hickenlooper,@SenatorHick,,,M,Colorado,Democratic,72,1952,"MA in Geology (Wesleyan University), BA in English (Wesleyan University)",married,1,white,S,"$45,083,517",,yes
Richard Blumenthal,@SenBlumenthal,,,M,Connecticut,Democratic,78,1946,"JD (Yale Law School), BA in Government (Harvard College)",married,3,white,S,"$8,881,747",,yes
Chris Murphy,@ChrisMurphyCT,,,M,Connecticut,Democratic,51,1973,"JD (University of Connecticut School of Law), BA (Williams College)",seperated,3,white,S,"$15,089,795",,yes
Lisa Blunt Rochester,@SenLBR,@LisaBRochester,,F,Delaware,Democratic,77,1962,"MA in Urban Affairs and Public Policy (University of Delaware), BA in International Relations (Fairleigh Dickinson University)",widowed,1,black,S,"$9,889,594",,yes
Chris Coons,@ChrisCoons,,,M,Delaware,Democratic,61,1963,"JD (Yale Law School), MA in Ethics (Yale Divinity School), BA in Chemistry and Political Science (Amherst)",married,4,white,S,"$8,719,861",,yes
Ashley Moody,@SenAshleyMoody,@AshleyMoodyFL,,F,Florida,Republican,53,1975,"JD (University of Florida School of Law), Master of Laws in International Law (Stetson University College of Law), MA and BA in Accounting (University of Florida)",married,1,white,S,"$807,885",,yes
Rick Scott,@SenRickScott,,,M,Florida,Republican,72,1952,"JD (Southern Methodist University), BA in Business Administration (University of Missouri-Kansas City)",married,2,white,S,"$46,338,811",,yes
Jon Ossoff,@SenOssoff,,,M,Georgia,Democratic,37,1987,"MS in International Political Economy (LSE), BS in Culture and Politics (Georgetown Univeristy School of Foreign Service) ",married,1,white,S,"$171,895,161",,yes
Raphael Warnock,@SenatorWarnock,,,M,Georgia,Democratic,55,1969,"Doctor of Philosophy (Union Theological Seminary), BA in Psychology (Morehouse College)",divorced,2,black,S,"$184,266,768",,yes
Brian Schatz,@SenBrianSchatz,,,M,Hawaii,Democratic,52,1972,BA in Philosophy (Pomona College),married,2,white ,S,"$4,179,202",,yes
Mazie Hirono,@maziehirono,,,F,Hawaii,Democratic,77,1947,"JD (Georgetown University Law Center), BA in Psychology (University of Hawai'i at Manoa)",married,3,PoC,S,"$4,838,110",,yes
Mike Crapo,@MikeCrapo,,,M,Idaho,Republican,73,1951,"JD (Harvard Law School), BA in Political Science (Brigham Young University)",married,5,white,S,"$6,725,667",,yes
Jim Risch,@SenatorRisch,,,M,Idaho,Republican,81,1943,"JD, BS in Forestry (University of Idaho)",married,3,white,S,"$3,958,222",,yes
Dick Durbin,@SenatorDurbin,,,M,Illinois,Democratic,80,1944,"JD (Georgetown University Law Center), BS (School of Foreign Service Georgetown University)",married,5,white,S,"$9,493,245",,yes
Tammy Duckworth,@SenDuckworth,,,F,Illinois,Democratic,56,1968,"PhD in Human Services (Capella University), MA in International Affairs (George Washington University), BA in Political Science (University of Hawaii at Manoa) ",married,2,PoC,S,"$23,296,672",,yes
Todd Young,@SenToddYoung,,,M,Indiana,Republican,52,1972,"MBA (University of Chicago), BS in Political Science (United States Naval Academy)",married,2,white,S,"$15,679,033",,yes
Jim Banks,@SenatorBanks,@Jim_Banks,,M,Indiana,Republican,70,1979,"MBA (Grace College), BA in Political Science (IU Bloomington)",married,1,white,S,"$7,151,158",,yes
Chuck Grassley,@ChuckGrassley,,,M,Iowa,Republican,91,1933,"MA in Political Science, BA in Political Science (University of Northern Iowa)",married,8,white,S,"$10,945,189",,yes
Joni Ernst,@SenJoniErnst,,,F,Iowa,Republican,54,1970,"MPA (Columbus State University), BA in Psychology (Iowa State University)",divorced,2,white,S,"$32,364,554",,yes
Jerry Moran,@JerryMoran,,,M,Kansas,Republican,70,1954,"JD (University of Kansas Law School), BS in Economics (University of Kansas)",married,3,white,S,"$8,576,792",,yes
Roger Marshall,@RogerMarshallMD,,,M,Kansas,Republican,64,1960,"MD (University of Kansas), BS in Biochemistry (Kansas State University)",married,1,white,S,"$8,689,536",,yes
Mitch McConnell,@McConnellPress,,,M,Kentucky,Republican,82,1942,"JD (University of Kentucky College of Law), BA in Political Science (University of Louisville)",married,8,white,S,"$72,967,093",,yes
Rand Paul,@RandPaul,,,M,Kentucky,Republican,61,1963,MD (Duke University),married,3,white,S,"$35,527,402",,yes
Bill Cassidy,@BillCassidy,,,M,Louisiana,Republican,67,1957,MD and BS (LSU),married,3,white,S,"$13,712,529",,yes
John Kennedy,@SenJohnKennedy,,,M,Louisiana,Republican,73,1951,"Bachelor of Civil Law (Oxford), JD (University of Virginia Law School), BA in Philosophy, Political Science, Economics (Vanderbilt)",married,3,white,S,"$51,628,838",,yes
Susan Collins,@SenatorCollins,,,F,Maine,Republican,72,1952,BA in Government (St Lawrence University),married,5,white,S,"$29,778,726",,yes
Angus King,@SenAngusKing,,,M,Maine,Independent,80,1944,"JD (University of Virginia School of Law), BA (Dartmouth College)",married,3,white,S,"$5,613,022",,yes
Angela Alsobrooks,@Sen_Alsobrooks,@AlsobrooksForMD,,F,Maryland,Democratic,81,1971,"JD (University of Maryland), BA in Public Policy and Afro-American Studies (Duke University)",unmarried,1,black,S,"$30,381,479",,yes
Chris Van Hollen,@ChrisVanHollen,,,M,Maryland,Democratic,65,1959,"JD (Georgetown University), MA of Public Policy (Harvard), BA in Philosophy (Swarthmore College)",married,2,white,S,"$8,407,892",,yes
Elizabeth Warren,@SenWarren,,,F,Massachusetts,Democratic,75,1949,"JD (Rutgers Law School), BS in Speech Pathology and Audiology (University of Houston)",married,4,white,S,"$20,636,521",,yes
Ed Markey,@SenMarkey,,,M,Massachusetts,Democratic,78,1946,"JD (Boston College Law School), BA (Boston College)",married,4,white,S,"$14,024,552",,yes
Elissa Slotkin,@SenatorSlotkin,@ElissaSlotkin,,F,Michigan,Democratic,74,1976,"MA of International Affairs (Columbia University), BA in Sociology (Cornell University)",divorced,1,white,S,"$51,168,063",,yes
Gary Peters,@SenGaryPeters,,,M,Michigan,Democratic,66,1958,"MA in Philosophy (Michigan State University), JD and MA in Political Science (Wayne State University), MBA (University of Detroit), BA in Political Science (Alma College)",married,3,white,S,"$56,643,388",,yes
Amy Klobuchar,@amyklobuchar,,,F,Minnesota,Democratic,64,1960,"JD (University of Chicago Law School), BA in Political Science (Yale University)",married,3,white,S,"$51,617,585",,yes
Tina Smith,@SenTinaSmith,,,F,Minnesota,Democratic,66,1958,"MBA (Dartmouth College), BA in Political Science (Stanford University)",married,3,white,S,"$19,239,089",,yes
Roger Wicker,@SenatorWicker,,,M,Mississippi,Republican,73,1951,"JD, BA in Journalism and Political Science (University of Mississippi)",married,4,white,S,"$9,761,165",,yes
Cindy Hyde-Smith,@SenHydeSmith,,,F,Mississippi,Republican,65,1959,"BA in Criminal Justice and Political Science (University of Southern Mississippi), AA (Copiah-Lincoln Community College)",married,2,white,S,"$4,995,725",,yes
Josh Hawley,@SenHawleyPress,,,M,Missouri,Republican,44,1979,"JD (Yale Law School), BA (Stanford University)",married,2,white,S,"$27,210,241",,yes
Eric Schmitt,@SenEricSchmitt,,,M,Missouri,Republican,49,1975,"JD (Saint Louis University School of Law), BA in Political Science (Truman State University)",married,1,white,S,"$8,421,390",,yes
Tim Sheehy,@TimSheehyMT,,,M,Montana,Republican,68,1985,BS in History (United States Naval Academy),married,1,white,S,"$28,757,920",,yes
Steve Daines,@SteveDaines,,,M,Montana,Republican,62,1962,BS in Chemical Engineering (Montana State University),married,3,white,S,"$45,326,620",,yes
Deb Fischer,@SenatorFischer,,,F,Nebraska,Republican,73,1951,BS in Education (University of Nebraska-Lincoln),married,3,white,S,"$8,409,719",,yes
Pete Ricketts,@SenatorRicketts,,,M,Nebraska,Republican,60,1964,"MBA in Marketing and Finance (University of Chicago), BA in Biology (University of Chicago)",married,1,white,S,"$5,862,005",,yes
Catherine Cortez Masto,@SenCortezMasto,,,F,Nevada,Democratic,60,1964,"JD (Gonzaga University School of Law), BS in Finance (University of Nevada, Reno)",married,3,latinx,S,"$65,688,545",,yes
Jacky Rosen,@SenJackyRosen,,,F,Nevada,Democratic,67,1957,"BA in Psychology (University of Minnesota), AS in omputing and Information Technology (Clark Community College)",married,2,white,S,"$65,688,545",,yes
Jeanne Shaheen,@SenatorShaheen,,,F,New Hampshire,Democratic,77,1947,"MA in Political Science (University of Mississippi), BA in English (Shippensburg University of Pennsylvania)",married,5,white,S,"$20,017,665",,yes
Maggie Hassan,@SenatorHassan,,,F,New Hampshire,Democratic,66,1958,"JD (Northeastern University School of Law), BA in History (Brown University)",married,3,white,S,"$43,065,875",,yes
Cory Booker,@SenBooker,,,M,New Jersey,Democratic,55,1969,"JD (Yale Law School), MA (Oxford), MA in Sociology (Stanford), BA in Political Science (Stanford)",married,3,black,S,"$21,523,390",,yes
Andy Kim,@AndyKimNJ,,,M,New Jersey,Democratic,42,1982,"MPhil in International Relations, DPhil (Oxford), BA in Political Science (University of Chicago)",married,1,PoC,S,"$12,170,781",,yes
Martin Heinrich,@MartinHeinrich,,,M,New Mexico,Democratic,53,1971,BS in Mechanical Engineering (University of Missouri),married,3,white,S,"$12,970,083",,yes
Ben Ray Lujan,@SenatorLujan,,,M,New Mexico,Democratic,52,1972,BBA (New Mexico Highlands University),unmarried,2,latinx,S,"$11,637,120",,yes
Chuck Schumer,@SenSchumer,,,M,New York,Democratic,74,1950,"JD (Harvard Law School), BA in Social Studies (Harvard College)",married,5,white,S,"$42,963,220",,yes
Kirsten Gillibrand,@gillibrandny,,,F,New York,Democratic,58,1966,"JD (UCLA School of Law), BA in Asian Studies (Dartmouth University)",married,4,white,S,"$14,857,727",,yes
Thom Tillis,@SenThomTillis,,,M,North Carolina,Republican,64,1960,BS in Technology (University of Maryland University College),married,3,white,S,"$25,523,706",,yes
Ted Budd,@SenTedBuddNC,,,M,North Carolina,Republican,53,1971,"MBA (Wake Forest University School of Business), MA in Theology (Dallas Theological Seminary), BS in Business Administration (Appalachian State University)",married,1,white,S,"$21,443,579",,yes
John Hoeven,@SenJohnHoeven,,,M,North Dakota,Republican,67,1957,"MBA (Northwestern University), BA (Dartmouth)",married,3,white,S,"$4,567,097",,yes
Kevin Cramer,@SenKevinCramer,,,M,North Dakota,Republican,63,1961,"MA in Management (University of Mary), BA (Concordia College)",married,3,white,S,"$17,404,445",,yes
Bernie Moreno,@berniemoreno,,,M,Ohio,Republican,72,1967,BBA (University of Michigan),married,1,white,S,"$26,674,445",,yes
Jon Husted,@SenJonHusted,,,M,Ohio,Republican,40,1967,"MA, BA (University of Dayton)",married,1,white,S,"$1,828,549",,yes
James Lankford,@SenatorLankford,,,M,Oklahoma,Republican,56,1968,"MA of Divinity (Southwestern Baptist Theological Seminary), BS in Secondary Education (University of Texas at Austin)",married,3,white,S,"$7,449,710",,yes
Markwayne Mullin,@SenMullin,,,M,Oklahoma,Republican,47,1977,AAS in Constructive Technology (Oklahoma State University Institute of Technology),married,1,PoC,S,"$6,423,041",,yes
Ron Wyden,@RonWyden,,,M,Oregon,Democratic,75,1949,"JD (University of Oregon School of Law), BA in Political Science (Stanford University)",married,5,white,S,"$13,797,023",,yes
Jeff Merkley,@SenJeffMerkley,,,M,Oregon,Democratic,68,1956,"MPA (Princeton University), BA in International Relations (Stanford University)",married,4,white,S,"$9,661,682",,yes
David McCormick,@DaveMcCormickPA,,,M,Pennsylvania,Republican,64,1965,"PhD in International Relations (Princeton University), BS in Mechanical Engineering (West Point)",married,1,white,S,"$825,478",,yes
John Fetterman,@SenFettermanPA,,,M,Pennsylvania,Democratic,55,1969,"MBA (University of Connecticut), BA in Finance (Albright College)",married,2,white,S,"$82,199,021",,yes
Jack Reed,@SenJackReed,,,M,Rhode Island,Democratic,75,1949,"JD (Harvard Law School), MPP (Harvard University), BS (West Point)",married,4,white,S,"$4,011,225",,yes
Sheldon Whitehouse,@SenWhitehouse,,,M,Rhode Island,Democratic,69,1955,"JD (University of Virginia School of Law), BA (Yale University)",married,4,white,S,"$6,714,499",,yes
Lindsey Graham,@LindseyGrahamSC,,,F,South Carolina,Republican,69,1955,"JD (University of South Carolina School of Law), BA in Psychology (University of South Carolina)",unmarried,5,white,S,"$160,035,712",,yes
Tim Scott,@SenatorTimScott,,,M,South Carolina,Republican,59,1965,BS in Political Science (Charleston Southern University),married,3,black,S,"$84,573,262",,yes
John Thune,@johnthune,,,M,South Dakota,Republican,63,1961,"MBA (University of South Dakota), BA in Business (Biola University)",married,4,white,S,"$14,676,497",,yes
Mike Rounds,@SenatorRounds,,,M,South Dakota,Republican,70,1954,BS in Political Science (South Dakota State University),widowed,3,white,S,"$4,905,720",,yes
Marsha Blackburn,@MarshaBlackburn,,,F,Tenessee,Republican,72,1952,BS in Home Economics (Mississippi State University),married,2,white,S,"$18,651,418",,yes
Bill Hagerty,@SenatorHagerty,,,M,Tenessee,Republican,65,1959,"JD (Vanderbilt Law School), BA in Economics and Business Administration (Vanderbilt University)",married,1,white,S,"$17,165,599",,yes
John Cornyn,@JohnCornyn,,,M,Texas,Republican,72,1952,"LLM (University of Virginia School of Law), JD (St. Mary's University School of Law), BA in Journalism (Trinity University)",married,5,white,S,"$34,095,779",,yes
Ted Cruz,@SenTedCruz,,,M,Texas,Republican,53,1970,"JD (Harvard Law School), BA in Public Policy (Princeton University)",married,3,latinx,S,"$105,557,320",,yes
John Curtis,@SenJohnCurtis,@CurtisUT,,M,Utah,Republican,53,1960,BS in Business Management (Brigham Young University),married,1,white,S,"$5,632,554",,yes
Mike Lee,@SenMikeLee,@BasedMikeLee,,M,Utah,Republican,77,1971,"JD (Brigham Young University), BA in Political Science (Brigham Young University)",married,3,white,S,"$16,528,335",,yes
Bernie Sanders,@SenSanders,,,M,Vermont,Independent,83,1941,BA (University of Chicago),married,6,white,S,"$35,728,404",,yes
Peter Welch,@WelchForVT,,,M,Vermont,Democratic,77,1947,"JD (University of California, Berkeley), BA in History (College of the Holy Cross)",married,1,white,S,"$5,678,073",,yes
Mark Warner,@MarkWarner,,,M,Virginia,Democratic,69,1954,"JD (Harvard Law School), BA in Political Science (George Washington University)",married,4,white,S,"$20,277,319",,yes
Tim Kaine,@timkaine,,,M,Virginia,Democratic,66,1958,"JD (Harvard Law School), BA in Economics (University of Missouri)",married,3,white,S,"$21,401,882",,yes
Patty Murray,@PattyMurray,,,F,Washington,Democratic,74,1950,BA in Physical Education (Washington State University),married,6,white,S,"$20,331,359",,yes
Maria Cantwell,@SenatorCantwell,,,F,Washington,Democratic,66,1958,BA in Public Administration (Miami University - Ohio) ,unmarried,4,white,S,"$68,758,355",,yes
Jim Justice,@JimJustice_WV,,,M,West Virginia,Independent,77,1951,"MBA, BA (Marshall University)",married,1,white,S,"$4,560,213",,yes
Shelley Moore Capito,@SenCapito,,,F,West Virginia,Republican,71,1953,"MEd (University of Virginia), BA in Zoology (Duke University)",married,3,white,S,"$6,809,822",,yes
Ron Johnson,@SenRonJohnson,,,M,Wisconsin,Republican,69,1955,BA in Business and Accounting (University of Minnesota),married,3,white,S,"$40,097,439",,yes
Tammy Baldwin,@SenatorBaldwin,,,F,Wisconsin,Democratic,62,1962,"JD (University of Wisconsin Law School), BA (Smith College)",unmarried,3,white,S,"$58,515,036",,yes
John Barrasso,@SenJohnBarrasso,,,M,Wyoming,Republican,72,1952,"MD, BS in Biology (Georgetown University)",widowed,3,white,S,"$10,586,702",,yes
Cynthia Lummis,@SenLummis,,,F,Wyoming,Republican,70,1954,"JD, BS in Biology, BS in Animal Science (University of Wyoming)",widowed,1,white,S,"$3,581,540",,yes